English,Transcription,Русский
generous,[ˈdʒenərəs],щедрый
genius,[ˈdʒiːnɪəs],гениальный
gentle,[ˈdʒentl],мягкий
glad,[ɡlæd],довольный
greedy,[ˈɡriːdi],жадный
happy,[ˈhæpi],счастливый
hard-working,[ˌhɑːd ˈwɜːkɪŋ],трудолюбивый
honest,[ˈɒnɪst],честный
intelligent,[ɪnˈtelɪdʒənt],умный
jealous,[ˈdʒeləs],"ревнивый, завистливый"
kind,[kaɪnd],добрый
lazy,[ˈleɪzi],ленивый
loyal,[ˈlɔɪəl],верный
lucky,[ˈlʌki],удачливый
moody,[ˈmuːdi],хмурый
nervous,[ˈnɜːvəs],нервный
open,[ˈəʊpən],открытый
optimistic,[ˌɒptɪˈmɪstɪk],оптимистичный
patient,[ˈpeɪʃənt],терпеливый
proud,[praʊd],гордый
quiet,[ˈkwaɪət],тихий
reliable,[rɪˈlaɪəbl],надежный
romantic,[rəʊˈmæntɪk],романтичный
rude,[ruːd],грубый
sad,[sæd],грустный
shy,[ʃaɪ],стеснительный
sensitive,[ˈsensətɪv],чувствительный
serious,[ˈsɪərɪəs],серьезный
stupid,[ˈstjuːpɪd],глупый
talented,[ˈtæləntɪd],талантливый
tough,[tʌf],жесткий
upset,[ˌʌpˈset],расстроенный
wise,[waɪz],мудрый
witty,[ˈwɪti],остроумный
to act,[ækt],
to behave,[bɪˈheɪv],
to tell,[tel],рассказывать
to try,[traɪ],стараться
adoption,[əˈdɒpʃn],усыновление
aunt,[ɑːnt],тетя
boyfriend,[ˈbɔɪfrend],парень (друг)
bride,[braɪd],невеста
brother,[ˈbrʌðə(r)],брат
brother-in-law,[ˈbrʌðər ɪn lɔː],"шурин, деверь"
cousin,[ˈkʌzn],двоюродный брат или сестра
daughter,[ˈdɔːtə(r)],дочь
daughter-in-law,[ˈdɔːtər ɪn lɔː],"сноха, невестка"
divorce,[dɪˈvɔːs],развод
engagement,[ɪnˈɡeɪdʒmənt],помолвка
ex-husband,[ˌeks ˈhʌzbənd],бывший муж
ex-wife,[ˌeks ˈwaɪf],бывшая жена
family,[ˈfæməli],семья
father,[ˈfɑːðə(r)],отец
foster family,[ˈfɒstə ˈfæməli],приемная семья
friend,[frend],друг
girlfriend,[ˈɡɜːlfrend],девушка (подруга)
godfather,[ˈɡɒdfɑːðə(r)],крестный отец
godmother,[ˈɡɒdmʌðə(r),крестная мать
grandchildren,[ˈɡræntʃɪldrən],внуки
granddaughter,[ˈɡrændɔːtə(r)],внучка
grandfather,[ˈɡrænfɑːðə(r)],дедушка
grandmother,[ˈɡrænmʌðə(r)],бабушка
grandparents,[ˈɡrænpeərənts],бабушка и дедушка
grandson,[ˈɡrænsʌn],внук
half-brother,[ˈhɑːf brʌðə(r)],сводный брат(один родитель общий)
half-sister,[ˈhɑːf sɪstə(r)],сводная сестра(один родитель общий)
husband,[ˈhʌzbənd],муж
lover,[ˈlʌvə(r)],любовник(-ца)
marriage,[ˈmærɪdʒ],брак
mother,[ˈmʌðə(r)],мать
mother-in-law,[ˈmʌðər ɪn lɔː],"теща, свекровь"
nephew,[ˈnefjuː],племянник
niece,[niːs],племянница
parents,[ˈpeərənts],родители
relative,[ˈrelətɪv],родственник
sister,[ˈsɪstə(r)],сестра
son,[sʌn],сын
stepbrother,[ˈstepbrʌðə(r)],сын мачехи или отчима
stepfather,[ˈstepfɑːðə(r)],отчим
stepmother,[ˈstepmʌðə(r)],мачеха
stepsister,[ˈstepsɪstə(r)],дочь мачехи или отчима
twins,[twɪnz],близнецы
uncle,[ˈʌŋkl],дядя
wedding,[ˈwedɪŋ],свадьба
widow,[ˈwɪdəʊ],вдова
widower,[ˈwɪdəʊə(r)],вдовец
wife,[waɪf],жена
to care,[keə(r)],заботиться
to love,[lʌv],любить
to miss,[mɪs],скучать
to support,[səˈpɔːt],поддерживать
belt,[belt],ремень
blouse,[ˈblaʊz],блузка
boots,[buːts],ботинки
bracelet,[ˈbreɪslət],браслет
cap,[kæp],кепка
chain,[tʃeɪn],цепочка
cloak,[kləʊk],плащ
clothes,[kləʊðz],одежда
coat,[ˈkəʊt],пальто
dress,[dres],платье
earrings,[ˈɪərɪŋz],серьги
formal clothes,[ˈfɔːml kləʊðz],официальная одежда
hat,[hæt],шляпа
high boots,[ˌhaɪ ˈbuːts],сапоги
high heels,[ˌhaɪ ˈhiːlz],высокие каблуки
hoodie,[ˈhʊdi],"худи, толстовка"
jacket,[ˈdʒækɪt],пиджак
jeans,[dʒiːnz],джинсы
necklace,[ˈnekləs],ожерелье
pocket,[ˈpɒkɪt],карман
pyjamas,[pəˈdʒɑːməz],пижама
raincoat,[ˈreɪnkəʊt],плащ-дождевик
ring,[rɪŋ],кольцо
shirt,[ʃɜːt],рубашка
shoes,[ʃuːz],туфли
shorts,[ʃɔːts],шорты
skirt,[skɜːt],юбка
slippers,[ˈslɪpəz],тапочки
socks,[sɒks],носки
sportswear,[ˈspɔːtsweə(r)],спортивный костюм
suit,[suːt],костюм
sweater,[ˈswetə(r)],свитер
swimwear,[ˈswɪmweə(r)],купальный костюм
trainers,[ˈtreɪnəz],кроссовки
T-shirt,[ˈtiː ʃɜːt],футболка
umbrella,[ʌmˈbrelə],зонт
underwear,[ˈʌndəweə(r)],нижнее белье
uniform,[ˈjuːnɪfɔːm],униформа
zip,[zɪp],застежка-молния
to dress up,[ˈdres ˌʌp],наряжаться
to try on,[ˈtraɪ ɒn],примерить
to wear,[weə(r)],носить
to zip up,[ˈzɪp ˌʌp],застегнуть
apple,[ˈæpl],яблоко
bacon,[ˈbeɪkən],бекон
banana,[bəˈnɑːnə],банан
beef,[biːf],говядина
berries,[ˈberɪz],ягоды
biscuits,[ˈbɪskɪts],печенье
breakfast,[ˈbrekfəst],завтрак
butter,[ˈbʌtə(r)],масло
carrot,[ˈkærət],морковь
cereal,[ˈsɪəriəl],хлопья
chicken,[ˈtʃɪkɪn],курица
coffee,[ˈkɒfi],кофе
corn,[kɔːn],кукуруза
cucumber,[ˈkjuːkʌmbə(r)],огурец
dinner,[ˈdɪnə(r)],ужин
drinks,[drɪŋks],напитки
duck,[dʌk],утка
aubergine,[ˈəʊbəʒiːn],баклажан
fish,[fɪʃ],рыба
fruits,[fruːts],фрукты
garlic,[ˈɡɑːlɪk],чеснок
grapes,[ɡreɪps],виноград
ham,[hæm],ветчина
jam,[dʒæm],варенье
juice,[dʒuːs],сок
lemon,[ˈlemən],лимон
lettuce,[ˈletɪs],салат-латук
lunch,[lʌntʃ],обед
milk,[mɪlk],молоко
mineral water,[ˈmɪnərəl wɔːtə(r)],минеральная вода
mushroom,[ˈmʌʃruːm],гриб
nuts,[nʌts],орехи
onion,[ˈʌnjən],лук
pancake,[ˈpænkeɪk],блинчик
peach,[piːtʃ],персик
pepper,[ˈpepə(r)],перец
pineapple,[ˈpaɪnæpl],ананас
plum,[plʌm],слива
pork,[pɔːk],свинина
potato,[pəˈteɪtəʊ],картофель
salmon,[ˈsæmən],лосось
sandwich,[ˈsænwɪdʒ],сэндвич
sausage,[ˈsɒsɪdʒ],колбаса
shrimp,[ʃrɪmp],креветка
snack,[snæk],перекус
soda,[ˈsəʊdə],газировка
strawberry,[ˈstrɔːbəri],клубника
taste,[teɪst],вкус
tea,[tiː],чай
toast,[təʊst],тост
tomato,[təˈmɑːtəʊ],помидор
turkey,[ˈtɜːki],индейка
vegetables,[ˈvedʒtəblz],овощи
water,[ˈwɔːtə(r)],вода
watermelon,[ˈwɔːtəmelən],арбуз
yoghurt,[ˈjɒɡət],йогурт
to bake,[beɪk],печь
to boil,[bɔɪl],"кипеть, варить"
to cook,[kʊk],готовить
to cool,[kuːl],охлаждать
to cut,[kʌt],резать
to drink,[drɪŋk],пить
to eat,[iːt],есть
to fry,[fraɪ],жарить
to heat,[hiːt],подогревать
to stew,[stjuː],тушить
to taste,[teɪst],пробовать
actor,[ˈæktə(r)],актер
artist,[ˈɑːtɪst],художник
break,[breɪk],перерыв
career,[kəˈrɪə(r)],карьера
company,[ˈkʌmpəni],компания
cook,[kʊk],повар
designer,[dɪˈzaɪnə(r)],дизайнер
director,[dɪˈrektə(r)],директор
doctor,[ˈdɒktə(r)],врач
engineer,[ˌendʒɪˈnɪə(r)],инженер
fireman,[ˈfaɪəmən],пожарный
housewife,[ˈhaʊswaɪf],домохозяйка
interview,[ˈɪntəvjuː],собеседование
job,[dʒɒb],работа
journalist,[ˈdʒɜːnəlɪst],журналист
lawyer,[ˈlɔɪə(r)],юрист
meeting,[ˈmiːtɪŋ],встреча
money,[ˈmʌni],деньги
musician,[mjuˈzɪʃn],музыкант
office,[ˈɒfɪs],офис
photographer,[fəˈtɒɡrəfə(r)],фотограф
policeman,[pəˈliːsmən],полицейский
professional,[prəˈfeʃənl],профессионал
programmer,[ˈprəʊɡræmə(r)],программист
pupil,[ˈpjuːpɪl],ученик
salary,[ˈsæləri],зарплата
scientist,[ˈsaɪəntɪst],ученый
singer,[ˈsɪŋə(r)],певец
sportsman,[ˈspɔːtsmən],спортсмен
skill,[skɪl],навык
student,[ˈstjuːdnt],студент
task,[tɑːsk],задача
teacher,[ˈtiːtʃə(r)],учитель
to earn,[ɜːn],зарабатывать
to learn,[lɜːn],учить что-либо
to manage,[ˈmænɪdʒ],управлять
to order,[ˈɔːdə(r)],заказывать
to organise,[ˈɔːɡənaɪz],организовывать
to study,[ˈstʌdi],учить(-ся)
to teach,[tiːtʃ],"учить, преподавать"
to work,[wɜːk],работать
apartment,[əˈpɑːtmənt],квартира
basement,[ˈbeɪsmənt],подвал
ceiling,[ˈsiːlɪŋ],потолок
floor,[flɔː(r)],пол (этаж)
home,[həʊm],дом (место)
house,[haʊs],дом (здание)
neighbour,[ˈneɪbə(r)],сосед
roof,[ruːf],крыша
stairs,[steəz],лестница
wall,[wɔːl],стена
yard,[jɑːd],двор
armchair,[ˈɑːmtʃeə(r)],кресло
bookcase,[ˈbʊkkeɪs],книжный шкаф
carpet,[ˈkɑːpɪt],ковер
coffee table,[ˈkɒfi teɪbl],кофейный столик
computer,[kəmˈpjuːtə(r)],компьютер
curtains,[ˈkɜːtnz],шторы
desk,[desk],рабочий стол
lamp,[læmp],лампа
laptop,[ˈlæptɒp],ноутбук
living room,[ˈlɪvɪŋ ruːm],гостиная
painting,[ˈpeɪntɪŋ],картина
picture frame,[ˈpɪktʃə freɪm],рамка для фотографий
sofa,[ˈsəʊfə],диван
TV,[ˌtiː ˈviː],телевизор
bath,[bɑːθ],ванна
bathrobe,[bɑːθrəʊb],банный халат
bathroom,[ˈbɑːθruːm],ванная комната
bubbles,[ˈbʌblz],пузырьки
mirror,[ˈmɪrə(r)],зеркало
razor,[ˈreɪzə(r)],бритва
shampoo,[ʃæmˈpuː],шампунь
shower,[ˈʃaʊə(r)],душ
soap,[səʊp],мыло
sponge,[spʌndʒ],губка
toilet,[ˈtɔɪlət],унитаз
toothbrush,[ˈtuːθbrʌʃ],зубная щетка
toothpaste,[ˈtuːθpeɪst],зубная паста
towel,[ˈtaʊəl],полотенце
alarm clock,[əˈlɑːm klɒk],будильник
bed,[bed],кровать
bedroom,[ˈbedruːm],спальня
blanket,[ˈblæŋkɪt],одеяло
closet,[ˈklɒzɪt],платяной шкаф
hairbrush,[ˈheəbrʌʃ],расческа
hanger,[ˈhæŋə(r)],вешалка
light switch,[laɪt swɪtʃ],выключатель света
phone,[fəʊn],телефон
pillow,[ˈpɪləʊ],подушка
sheet,[ʃiːt],простыня
bowl,[bəʊl],миска
chair,[tʃeə(r)],стул
cooker,[ˈkʊkə(r)],плита
cup,[kʌp],чашка
fork,[fɔːk],вилка
freezer,[ˈfriːzə(r)],морозильная камера
fridge,[frɪdʒ],холодильник
glass,[ɡlɑːs],бокал
kettle,[ˈketl],чайник
kitchen,[ˈkɪtʃɪn],кухня
knife,[naɪf],нож
mug,[mʌɡ],кружка
plate,[pleɪt],тарелка
spoon,[spuːn],ложка
table,[ˈteɪbl],стол
to brush teeth,[brʌʃ tiːθ],чистить зубы
to clean,[kliːn],чистить
to dry,[draɪ],сушить
to live,[lɪv],жить
to sleep,[sliːp],спать
to take a bath,[teɪk ə bɑːθ],принимать ванну
to wash,[wɒʃ],мыть
basketball,[ˈbɑːskɪtbɔːl],баскетбол
billiards,[ˈbɪliədz],бильярд
book,[bʊk],книга
bowling,[ˈbəʊlɪŋ],боулинг
dance,[dɑːns],танец
cards,[kɑːdz],карты
chess,[tʃes],шахматы
cinema,[ˈsɪnəmə],кино
circus,[ˈsɜːkəs],цирк
collecting,[kəˈlektɪŋ],коллекционирование
comics,[ˈkɒmɪks],комиксы
computer games,[kəmˈpjuːtə ɡeɪmz],компьютерные игры
crosswords,[ˈkrɒswɜːdz],кроссворды
diving,[ˈdaɪvɪŋ],дайвинг
drawing,[ˈdrɔːɪŋ],рисование
fishing,[ˈfɪʃɪŋ],рыбалка
fitness,[ˈfɪtnəs],фитнес
football,[ˈfʊtbɔːl],футбол
hockey,[ˈhɒki],хоккей
hunt,[hʌnt],охота
knitting,[ˈnɪtɪŋ],вязание
model,[ˈmɒdl],модель
music,[ˈmjuːzɪk],музыка
photo,[ˈfəʊtəʊ],фотография
poetry,[ˈpəʊətri],поэзия
reading,[ˈriːdɪŋ],чтение
running,[ˈrʌnɪŋ],бег
sculpture,[ˈskʌlptʃə(r)],скульптура
shopping,[ˈʃɒpɪŋ],шопинг
singing,[ˈsɪŋɪŋ],пение
skiing,[ˈskiːɪŋ],катание на лыжах
swimming,[ˈswɪmɪŋ],плавание
tennis,[ˈtenɪs],теннис
theatre,[ˈθɪətə(r)],театр
volleyball,[ˈvɒlibɔːl],волейбол
yoga,[ˈjəʊɡə],йога
to dance,[dɑːns],танцевать
to do cycling,[duː ˈsaɪklɪŋ],кататься на велосипеде
to do gardening,[duː ˈɡɑːdnɪŋ],заниматься садоводством
to draw,[drɔː],рисовать
to go mushrooming,[ɡəʊ ˈmʌʃrʊmɪŋ],собирать грибы
to play the guitar,[pleɪ ðə ɡɪˈtɑː(r)],играть на гитаре
to play the piano,[pleɪ ðə piˈænəʊ],играть на пианино
to read,[riːd],читать
to run,[rʌn],бегать
to sing,[sɪŋ],петь
to swim,[swɪm],плавать
black,[blæk],черный
blue,[bluː],синий
brown,[braʊn],коричневый
colour,[ˈkʌlə(r)],цвет
dark blue,[dɑːk bluː],темно-синий
gold,[ɡəʊld],золотистый
green,[ɡriːn],зеленый
grey,[ɡreɪ],серый
light blue,[laɪt bluː],голубой
orange,[ˈɒrɪndʒ],оранжевый
pink,[pɪŋk],розовый
red,[red],красный
shade,[ʃeɪd],оттенок
silver,[ˈsɪlvə(r)],серебристый
violet,[ˈvaɪələt],фиолетовый
white,[waɪt],белый
yellow,[ˈjeləʊ],желтый
to paint,[peɪnt],красить
bad,[bæd],плохой
big,[bɪɡ],большой
circle,[ˈsɜːkl],круг
cool,[kuːl],прохладный
far,[fɑː(r)],далекий
fast,[fɑːst],быстрый
fluffy,[ˈflʌfi],пушистый
good,[ɡʊd],хороший
hard,[hɑːd],"жесткий, твердый"
heavy,[ˈhevi],тяжелый
high,[haɪ],высокий
hot,[hɒt],горячий
large,[lɑːdʒ],крупный
length,[leŋkθ],длина
light,[laɪt],легкий
line,[laɪn],линия
long,[lɒŋ],длинный
loud,[laʊd],громкий
low,[ləʊ],низкий
new,[njuː],новый
old,[əʊld],старый
quick,[kwɪk],быстрый
round,[raʊnd],круглый
shape,[ʃeɪp],форма
sharp,[ʃɑːp],острый
short,[ʃɔːt],короткий
size,[saɪz],размер
slow,[sləʊ],медленный
small,[smɔːl],маленький
smooth,[smuːð],гладкий
soft,[sɒft],мягкий
speed,[spiːd],скорость
square,[skweə(r)],"квадрат, квадратный"
warm,[wɔːm],теплый
weight,[weɪt],вес
afternoon,[ˌɑːftəˈnuːn],"день, время после полудня"
century,[ˈsentʃəri],век
date,[deɪt],дата
day,[deɪ],день
decade,[ˈdekeɪd],десятилетие
evening,[ˈiːvnɪŋ],вечер
hour,[ˈaʊə(r)],час
midnight,[ˈmɪdnaɪt],полночь
minute,[ˈmɪnɪt],минута
month,[mʌnθ],месяц
morning,[ˈmɔːnɪŋ],утро
night,[naɪt],ночь
second,[ˈsekənd],секунда
time,[taɪm],время
week,[wiːk],неделя
weekdays,[ˈwiːkdeɪz],будни
weekend,[ˌwiːkˈend],выходные
year,[jɪə(r)],год
Monday,[ˈmʌndeɪ],понедельник
Tuesday,[ˈtjuːzdeɪ],вторник
Wednesday,[ˈwenzdeɪ],среда
Thursday,[ˈθɜːzdeɪ],четверг
Friday,[ˈfraɪdeɪ],пятница
Saturday,[ˈsætədeɪ],суббота
Sunday,[ˈsʌndeɪ],воскресенье
winter,[ˈwɪntə(r)],зима
spring,[sprɪŋ],весна
summer,[ˈsʌmə(r)],лето
autumn,[ˈɔːtəm],осень
January,[ˈdʒænjuəri],январь
February,[ˈfebruəri],февраль
March,[mɑːtʃ],март
April,[ˈeɪprəl],апрель
May,[meɪ],май
June,[dʒuːn],июнь
July,[dʒuˈlaɪ],июль
August,[ˈɔːɡəst],август
September,[sepˈtembə(r)],сентябрь
October,[ɒkˈtəʊbə(r)],октябрь
November,[nəʊˈvembə(r)],ноябрь
December,[dɪˈsembə(r)],декабрь
air,[eə(r)],воздух
blizzard,[ˈblɪzəd],метель
chilly,[ˈtʃɪli],прохладный
clear,[klɪə(r)],чистый
cloud,[klaʊd],облако
cloudy,[ˈklaʊdi],облачный
cold,[kəʊld],"холод, холодный"
fog,[fɒɡ],туман
foggy,[ˈfɒɡi],туманный
frosty,[ˈfrɒsti],морозный
hot,[hɒt],жаркий
ice,[aɪs],лед
icy,[ˈaɪsi],ледяной
lightning,[ˈlaɪtnɪŋ],молния
moon,[muːn],луна
mud,[mʌd],грязь
puddle,[ˈpʌdl],лужа
rain,[reɪn],дождь
rainbow,[ˈreɪnbəʊ],радуга
rainy,[ˈreɪni],дождливый
sky,[skaɪ],небо
snow,[snəʊ],снег
snowfall,[ˈsnəʊfɔːl],снегопад
snowflake,[ˈsnəʊfleɪk],снежинка
snowy,[ˈsnəʊi],снежный
star,[stɑː(r)],звезда
starry,[ˈstɑːri],звездный
sun,[sʌn],солнце
sunlight,[ˈsʌnlaɪt],солнечный свет
sunny,[ˈsʌni],солнечный
sunrise,[ˈsʌnraɪz],рассвет
sunset,[ˈsʌnset],закат
thunder,[ˈθʌndə(r)],гром
thunderstorm,[ˈθʌndəstɔːm],гроза
weather,[ˈweðə(r)],погода
wind,[wɪnd],ветер
windy,[ˈwɪndi],ветреный
to beat,[biːt],стучать
to blow,[bləʊ],дуть
to cover up,[ˈkʌvə ˌʌp],покрывать
to darken,[ˈdɑːkən],темнеть
to drip,[drɪp],капать
to fall,[fɔːl],падать
to lighten,[ˈlaɪtn],светлеть
to melt,[melt],
cave,[keɪv],пещера
cliff,[klɪf],скала
desert,[ˈdezət],пустыня
dust,[dʌst],пыль
field,[fiːld],поле
forest,[ˈfɒrɪst],лес
ground,[ɡraʊnd],земля
hill,[hɪl],холм
island,[ˈaɪlənd],остров
jungle,[ˈdʒʌŋɡl],джунгли
lake,[leɪk],озеро
mountain,[ˈmaʊntən],гора
nature,[ˈneɪtʃə(r)],природа
ocean,[ˈəʊʃn],океан
pond,[pɒnd],пруд
river,[ˈrɪvə(r)],река
sand,[sænd],песок
sea,[siː],море
stone,[stəʊn],камень
stream,[striːm],ручей
swamp,[swɒmp],болото
wave,[weɪv],волна
animal,[ˈænɪml],животное
beak,[biːk],клюв
claw,[klɔː],коготь
feather,[ˈfeðə(r)],перо
fur,[fɜː(r)],шерсть
bull,[bʊl],бык
cat,[kæt],кошка
chicken,[ˈtʃɪkɪn],курица
cow,[kaʊ],корова
dog,[dɒɡ],собака
donkey,[ˈdɒŋki],осел
goat,[ɡəʊt],коза
goose,[ɡuːs],гусь
guinea pig,[ˈɡɪni pɪɡ],морская свинка
hamster,[ˈhæmstə(r)],хомяк
horse,[hɔːs],лошадь
kitten,[ˈkɪtn],котенок
mouse,[maʊs],мышь
parrot,[ˈpærət],попугай
pet,[pet],питомец
pig,[pɪɡ],свинья
puppy,[ˈpʌpi],щенок
rabbit,[ˈræbɪt],кролик
rat,[ræt],крыса
sheep,[ʃiːp],овца
bear,[beə(r)],медведь
camel,[ˈkæml],верблюд
crocodile,[ˈkrɒkədaɪl],крокодил
deer,[dɪə(r)],олень
elephant,[ˈelɪfənt],слон
fox,[fɒks],лиса
giraffe,[dʒəˈrɑːf],жираф
hippo,[ˈhɪpəʊ],бегемот
kangaroo,[ˌkæŋɡəˈruː],кенгуру
lion,[ˈlaɪən],лев
monkey,[ˈmʌŋki],обезьяна
panda,[ˈpændə],панда
rhino,[ˈraɪnəʊ],носорог
snake,[sneɪk],змея
tiger,[ˈtaɪɡə(r)],тигр
wild,[waɪld],дикий
wolf,[wʊlf],волк
bee,[biː],пчела
bug,[bʌɡ],жук
butterfly,[ˈbʌtəflaɪ],бабочка
fly,[flaɪ],муха
insect,[ˈɪnsekt],насекомое
spider,[ˈspaɪdə(r)],паук
bird,[bɜːd],птица
duck,[dʌk],утка
eagle,[ˈiːɡl],орел
owl,[aʊl],сова
penguin,[ˈpeŋɡwɪn],пингвин
pigeon,[ˈpɪdʒɪn],голубь
raven,[ˈreɪvn],ворон
sparrow,[ˈspærəʊ],воробей
swan,[swɒn],лебедь
to bark,[bɑːk],лаять
to bite,[baɪt],кусать
to catch,[kætʃ],ловить
to feed,[fiːd],кормить
to fly,[flaɪ],летать
to hiss,[hɪs],шипеть
to pet,[pet],гладить
to purr,[pɜː(r)],мурлыкать
to scream,[skriːm],кричать
bush,[bʊʃ],куст
cactus,[ˈkæktəs],кактус
flower,[ˈflaʊə(r)],цветок
grass,[ɡrɑːs],трава
leaf,[liːf],лист
lily,[ˈlɪli],лилия
oak,[əʊk],дуб
pine,[paɪn],сосна
root,[ruːt],корень
rose,[rəʊz],роза
tree,[triː],дерево
to bloom,[bluːm],цвести
to fruit,[fruːt],плодоносить
to grow,[ɡrəʊ],расти
to plant,[plɑːnt],сажать
to water,[ˈwɔːtə(r)],поливать
Christmas,[ˈkrɪsməs],Рождество
coloured lights,[ˈkʌləd ˌlaɪts],цветные фонарики (гирлянды)
decorations,[ˌdekəˈreɪʃnz],украшения
guest,[ɡest],гость
holiday,[ˈhɒlədeɪ],праздник
New Year,[ˌnjuː ˈjɪə(r)],Новый год
New Year’s tree,[ˌnjuː jɪəz ˈtriː],новогодняя елка
present,[ˈpreznt],подарок
snowman,[ˈsnəʊmæn],снеговик
treat,[triːt],угощение
balloon,[bəˈluːn],воздушный шар
birthday,[ˈbɜːθdeɪ],день рождения
cake,[keɪk],торт
candle,[ˈkændl],свеча
party,[ˈpɑːti],вечеринка
wish,[wɪʃ],желание
to be born,[biː bɔːn],родиться
to celebrate,[ˈselɪbreɪt],праздновать
